State,District,Caste_Category,Religion,Literacy_Rate,Avg_Income_INR,Gender_Ratio,Occupation,Population
Bihar,Bhagalpur,OBC,Muslim,66.13,18520,1.09,Service,8524
Tamil Nadu,Coimbatore,General,Hindu,68.87,48323,1.07,Business,2550
Rajasthan,Udaipur,SC,Hindu,49.68,43932,0.89,Unemployed,9909
Maharashtra,Mumbai,SC,Muslim,58.68,36084,0.8,Service,8819
Bihar,Patna,OBC,Hindu,62.21,55266,1.04,Unemployed,8189
Tamil Nadu,Chennai,ST,Hindu,59.37,38646,0.92,Unemployed,1806
Rajasthan,Udaipur,General,Hindu,83.57,41994,0.97,Daily Wage,6183
Uttar Pradesh,Lucknow,SC,Hindu,71.46,23339,1.11,Agriculture,3393
Rajasthan,Udaipur,SC,Hindu,44.7,59444,0.91,Service,7053
Uttar Pradesh,Kanpur,OBC,Hindu,67.57,10000,0.9,Daily Wage,12627
Rajasthan,Jaipur,General,Hindu,59.6,35885,0.94,Unemployed,4240
Uttar Pradesh,Kanpur,OBC,Hindu,79.58,38114,0.98,Unemployed,1642
Uttar Pradesh,Kanpur,OBC,Hindu,59.04,21788,1.13,Unemployed,12916
Rajasthan,Udaipur,OBC,Muslim,62.65,59843,0.93,Agriculture,11198
Bihar,Gaya,OBC,Hindu,70.02,51055,1.08,Service,8539
Uttar Pradesh,Kanpur,OBC,Muslim,68.89,29176,0.94,Unemployed,5016
Rajasthan,Ajmer,SC,Christian,63.38,48369,0.95,Business,3044
Maharashtra,Nagpur,General,Christian,76.19,69575,0.99,Service,654
Tamil Nadu,Coimbatore,OBC,Muslim,73.12,12216,0.7,Agriculture,7611
Maharashtra,Pune,OBC,Hindu,73.88,33577,0.9,Business,10274
Rajasthan,Jaipur,OBC,Hindu,72.44,34093,1.06,Agriculture,9367
Tamil Nadu,Coimbatore,SC,Hindu,60.86,23796,1.05,Agriculture,13433
Maharashtra,Mumbai,SC,Hindu,57.83,42898,0.9,Unemployed,7491
Maharashtra,Mumbai,OBC,Hindu,63.5,36262,0.95,Service,6193
Bihar,Patna,General,Muslim,74.8,40970,0.77,Daily Wage,5223
Uttar Pradesh,Varanasi,SC,Hindu,55.67,46907,0.92,Agriculture,7489
Bihar,Patna,ST,Hindu,57.54,49795,0.88,Business,11918
Bihar,Gaya,OBC,Hindu,54.57,32590,0.9,Business,13968
Uttar Pradesh,Lucknow,General,Hindu,60.34,42369,1.0,Agriculture,12072
Tamil Nadu,Chennai,SC,Hindu,59.91,39604,1.13,Daily Wage,6877
Bihar,Gaya,OBC,Muslim,66.57,39175,0.9,Agriculture,14462
Bihar,Bhagalpur,General,Muslim,61.54,36226,0.9,Agriculture,1664
Bihar,Gaya,OBC,Muslim,73.59,70236,0.88,Daily Wage,2658
Bihar,Gaya,OBC,Hindu,65.83,34053,0.99,Unemployed,6711
Maharashtra,Pune,OBC,Hindu,72.64,54261,0.71,Business,6792
Bihar,Bhagalpur,SC,Hindu,36.13,27561,1.06,Unemployed,14042
Uttar Pradesh,Lucknow,General,Hindu,54.34,10000,1.01,Service,7890
Uttar Pradesh,Kanpur,ST,Christian,62.44,18646,0.85,Business,10762
Tamil Nadu,Madurai,OBC,Hindu,60.3,36658,0.89,Business,8724
Tamil Nadu,Coimbatore,OBC,Hindu,74.94,10000,0.86,Unemployed,9077
Tamil Nadu,Coimbatore,OBC,Hindu,58.74,31154,0.9,Unemployed,5681
Tamil Nadu,Madurai,SC,Hindu,67.98,10000,0.95,Service,7660
Tamil Nadu,Coimbatore,General,Muslim,75.58,72849,0.9,Service,5976
Maharashtra,Nagpur,OBC,Hindu,73.24,10000,0.71,Agriculture,3989
Uttar Pradesh,Lucknow,SC,Hindu,68.45,34916,1.07,Agriculture,3066
Rajasthan,Ajmer,OBC,Hindu,56.27,42798,1.14,Unemployed,2161
Tamil Nadu,Madurai,SC,Hindu,64.2,39148,0.95,Agriculture,706
Tamil Nadu,Coimbatore,SC,Muslim,44.29,55333,0.89,Unemployed,11401
Rajasthan,Jaipur,SC,Hindu,65.04,11554,0.83,Unemployed,1740
Bihar,Gaya,OBC,Hindu,84.35,29790,1.1,Business,10692
Uttar Pradesh,Lucknow,ST,Muslim,59.22,10000,1.04,Daily Wage,2460
Rajasthan,Ajmer,ST,Hindu,54.1,45480,0.95,Unemployed,11789
Tamil Nadu,Coimbatore,OBC,Hindu,54.57,37464,1.17,Daily Wage,6858
Maharashtra,Pune,General,Muslim,74.93,44137,1.06,Service,13681
Bihar,Gaya,General,Hindu,72.11,48143,0.84,Business,1680
Maharashtra,Mumbai,ST,Hindu,62.34,50531,0.87,Daily Wage,980
Uttar Pradesh,Kanpur,General,Hindu,84.24,43624,0.86,Unemployed,14449
Tamil Nadu,Coimbatore,OBC,Hindu,79.98,30698,1.03,Daily Wage,7176
Uttar Pradesh,Varanasi,OBC,Muslim,67.08,34102,1.0,Service,8018
Uttar Pradesh,Varanasi,OBC,Hindu,72.91,10000,0.84,Daily Wage,6586
Tamil Nadu,Coimbatore,General,Sikh,79.29,43017,0.9,Agriculture,6856
Maharashtra,Pune,SC,Hindu,46.41,18803,0.75,Daily Wage,10910
Rajasthan,Udaipur,OBC,Hindu,68.99,26023,0.85,Daily Wage,11132
Bihar,Patna,General,Muslim,69.32,50459,1.16,Unemployed,2408
Maharashtra,Pune,General,Muslim,54.88,62390,1.05,Business,9876
Rajasthan,Ajmer,OBC,Sikh,62.21,38048,0.9,Service,1514
Maharashtra,Pune,SC,Hindu,61.86,57636,1.01,Agriculture,8267
Bihar,Bhagalpur,SC,Hindu,65.09,28545,0.8,Business,3045
Maharashtra,Pune,ST,Hindu,57.92,53099,0.8,Unemployed,11981
Rajasthan,Udaipur,OBC,Hindu,59.45,36894,0.85,Business,11887
Maharashtra,Mumbai,General,Hindu,62.07,38646,0.81,Business,2363
Bihar,Bhagalpur,General,Hindu,60.26,55551,0.82,Daily Wage,13435
Uttar Pradesh,Varanasi,OBC,Sikh,54.02,25549,1.02,Agriculture,7308
Rajasthan,Udaipur,ST,Hindu,58.03,28031,0.95,Daily Wage,2425
Rajasthan,Ajmer,OBC,Hindu,52.54,42420,0.99,Agriculture,12802
Maharashtra,Mumbai,OBC,Sikh,65.91,50088,0.84,Daily Wage,5126
Bihar,Patna,General,Hindu,81.28,47317,0.92,Unemployed,12846
Maharashtra,Nagpur,SC,Hindu,59.8,33391,1.07,Business,8099
Uttar Pradesh,Varanasi,ST,Hindu,49.23,23562,1.05,Daily Wage,9891
Tamil Nadu,Madurai,OBC,Sikh,64.04,48507,1.12,Daily Wage,11216
Bihar,Patna,OBC,Muslim,65.98,45220,0.83,Unemployed,9186
Rajasthan,Jaipur,OBC,Sikh,77.55,37991,1.0,Daily Wage,11240
Uttar Pradesh,Kanpur,General,Hindu,63.54,20083,1.0,Business,11428
Uttar Pradesh,Lucknow,SC,Muslim,39.37,30239,1.04,Business,10390
Maharashtra,Mumbai,SC,Hindu,61.92,64225,1.05,Business,8802
Maharashtra,Mumbai,SC,Hindu,53.46,35409,0.95,Unemployed,3956
Uttar Pradesh,Varanasi,OBC,Hindu,54.18,20894,0.89,Agriculture,9104
Bihar,Patna,OBC,Muslim,49.64,35712,0.93,Unemployed,1419
Bihar,Bhagalpur,OBC,Hindu,53.27,41063,1.02,Daily Wage,10147
Bihar,Gaya,OBC,Hindu,72.27,30138,1.01,Unemployed,6759
Tamil Nadu,Madurai,General,Hindu,76.8,49611,0.87,Unemployed,12230
Bihar,Gaya,General,Hindu,72.77,62932,0.89,Unemployed,3706
Maharashtra,Pune,General,Hindu,90.98,37115,0.95,Unemployed,11827
Rajasthan,Ajmer,OBC,Hindu,63.28,38349,0.78,Service,11336
Rajasthan,Jaipur,OBC,Hindu,64.54,18618,0.96,Service,6944
Rajasthan,Ajmer,SC,Muslim,69.94,44690,0.71,Daily Wage,10208
Rajasthan,Ajmer,SC,Muslim,80.42,39429,0.87,Service,666
Uttar Pradesh,Lucknow,SC,Muslim,61.57,37642,0.88,Daily Wage,4064
Uttar Pradesh,Kanpur,General,Hindu,71.98,35887,0.91,Daily Wage,9841
Uttar Pradesh,Varanasi,OBC,Hindu,63.14,13509,0.96,Daily Wage,4366
Bihar,Gaya,OBC,Hindu,75.85,42723,1.03,Unemployed,1286
Rajasthan,Jaipur,General,Hindu,73.24,37009,1.03,Unemployed,7492
Rajasthan,Jaipur,SC,Hindu,46.42,21489,0.85,Daily Wage,14219
Maharashtra,Mumbai,OBC,Muslim,80.8,49141,1.0,Unemployed,12187
Rajasthan,Ajmer,OBC,Hindu,80.72,21810,0.98,Business,5333
Bihar,Bhagalpur,SC,Hindu,58.75,47703,0.94,Unemployed,14668
Rajasthan,Ajmer,SC,Hindu,56.15,43113,1.04,Unemployed,6671
Tamil Nadu,Chennai,SC,Muslim,53.32,34083,0.84,Daily Wage,10823
Uttar Pradesh,Lucknow,General,Hindu,45.02,48006,1.01,Agriculture,6838
Tamil Nadu,Madurai,OBC,Muslim,72.62,10000,0.91,Daily Wage,3312
Bihar,Gaya,ST,Hindu,37.82,55545,0.84,Agriculture,9583
Maharashtra,Pune,OBC,Hindu,82.55,49188,0.86,Business,5864
Uttar Pradesh,Kanpur,General,Muslim,58.67,50255,0.87,Unemployed,5784
Bihar,Gaya,OBC,Hindu,71.02,27757,0.77,Daily Wage,7634
Maharashtra,Pune,OBC,Christian,47.7,38400,0.89,Business,12692
Rajasthan,Udaipur,OBC,Hindu,64.47,45437,1.07,Agriculture,4143
Maharashtra,Pune,OBC,Christian,67.27,29891,1.0,Agriculture,13917
Tamil Nadu,Chennai,General,Hindu,56.43,48347,1.01,Unemployed,5647
Bihar,Gaya,General,Hindu,76.8,15948,0.87,Business,1200
Uttar Pradesh,Lucknow,OBC,Hindu,61.22,36498,1.0,Business,3109
Rajasthan,Udaipur,OBC,Muslim,84.97,27575,0.9,Business,7592
Tamil Nadu,Coimbatore,SC,Muslim,71.5,39448,1.08,Unemployed,3324
Rajasthan,Ajmer,General,Hindu,72.89,27643,0.82,Agriculture,8849
Rajasthan,Udaipur,General,Hindu,54.48,54930,1.07,Unemployed,14670
Uttar Pradesh,Kanpur,General,Hindu,88.49,57646,1.07,Agriculture,4981
Maharashtra,Mumbai,General,Muslim,64.2,27653,1.04,Business,6049
Maharashtra,Mumbai,SC,Hindu,64.18,36611,0.99,Unemployed,7548
Bihar,Gaya,OBC,Hindu,73.23,54257,1.08,Business,7953
Rajasthan,Ajmer,ST,Hindu,65.44,47687,1.0,Business,11948
Rajasthan,Ajmer,SC,Muslim,55.39,46348,0.81,Daily Wage,14600
Tamil Nadu,Coimbatore,OBC,Hindu,80.54,17082,0.98,Business,11203
Uttar Pradesh,Kanpur,OBC,Hindu,61.55,43300,0.95,Business,2736
Maharashtra,Pune,ST,Hindu,44.05,41310,0.89,Service,5515
Maharashtra,Nagpur,General,Muslim,78.81,45019,0.99,Agriculture,1573
Uttar Pradesh,Lucknow,General,Hindu,60.42,36160,0.9,Business,1574
Tamil Nadu,Coimbatore,OBC,Hindu,78.57,60160,0.87,Daily Wage,8150
Uttar Pradesh,Kanpur,General,Hindu,80.77,12454,0.83,Daily Wage,2123
Bihar,Gaya,OBC,Hindu,60.41,14712,0.79,Unemployed,9236
Tamil Nadu,Chennai,OBC,Hindu,74.13,31788,0.99,Unemployed,1188
Maharashtra,Nagpur,OBC,Hindu,76.9,38984,1.02,Agriculture,6454
Uttar Pradesh,Kanpur,General,Hindu,69.3,27195,1.06,Service,2936
Uttar Pradesh,Kanpur,SC,Muslim,54.11,20966,0.93,Service,4037
Bihar,Gaya,SC,Hindu,50.87,28738,0.98,Service,8276
Bihar,Patna,General,Hindu,73.48,31532,0.9,Business,1859
Bihar,Bhagalpur,General,Hindu,80.74,52446,1.16,Daily Wage,9977
Uttar Pradesh,Kanpur,General,Christian,81.8,62164,0.81,Business,4405
Uttar Pradesh,Varanasi,General,Muslim,77.64,44203,0.89,Agriculture,11987
Tamil Nadu,Chennai,SC,Christian,61.68,49178,1.0,Daily Wage,3865
Tamil Nadu,Madurai,OBC,Hindu,61.22,46136,0.89,Unemployed,14242
Maharashtra,Mumbai,SC,Hindu,62.17,30449,0.93,Service,6088
Uttar Pradesh,Kanpur,General,Muslim,77.66,29397,1.14,Agriculture,7452
Tamil Nadu,Chennai,OBC,Muslim,51.79,26034,0.99,Business,12076
Bihar,Gaya,General,Hindu,75.84,43492,0.94,Daily Wage,1141
Maharashtra,Nagpur,ST,Hindu,64.11,31533,1.09,Unemployed,14278
Bihar,Bhagalpur,OBC,Hindu,78.39,48092,0.85,Business,9014
Tamil Nadu,Coimbatore,OBC,Hindu,69.21,30493,0.85,Business,7853
Tamil Nadu,Coimbatore,General,Hindu,73.6,36935,1.02,Business,9406
Tamil Nadu,Madurai,SC,Hindu,49.3,60785,0.86,Business,13874
Rajasthan,Jaipur,SC,Hindu,62.19,46877,0.89,Service,10065
Uttar Pradesh,Lucknow,ST,Hindu,68.52,16562,1.1,Agriculture,12020
Tamil Nadu,Coimbatore,SC,Hindu,60.14,26053,0.92,Daily Wage,14023
Maharashtra,Nagpur,SC,Hindu,68.09,26233,0.88,Service,8053
Uttar Pradesh,Lucknow,ST,Hindu,57.78,17345,1.13,Business,10348
Maharashtra,Mumbai,SC,Hindu,54.34,47474,0.97,Business,12602
Maharashtra,Pune,ST,Hindu,50.15,34910,1.03,Daily Wage,1525
Bihar,Patna,SC,Hindu,58.12,52896,1.05,Business,12575
Tamil Nadu,Chennai,ST,Muslim,69.19,28105,0.84,Daily Wage,14081
Maharashtra,Mumbai,OBC,Hindu,63.86,37943,1.0,Unemployed,5676
Bihar,Gaya,SC,Hindu,38.28,34878,0.97,Daily Wage,2310
Uttar Pradesh,Varanasi,ST,Christian,57.22,54369,0.99,Agriculture,2293
Maharashtra,Nagpur,SC,Hindu,73.1,31760,1.04,Service,13148
Tamil Nadu,Madurai,OBC,Muslim,86.35,54675,0.84,Agriculture,8586
Tamil Nadu,Chennai,OBC,Hindu,67.46,29822,1.0,Service,4122
Rajasthan,Udaipur,OBC,Muslim,76.86,22416,0.96,Business,1804
Maharashtra,Nagpur,OBC,Muslim,49.8,56629,0.9,Agriculture,7706
Rajasthan,Ajmer,ST,Hindu,60.56,30355,1.06,Daily Wage,4519
Uttar Pradesh,Varanasi,General,Hindu,41.62,44750,0.94,Unemployed,2897
Uttar Pradesh,Kanpur,OBC,Muslim,65.46,60893,0.86,Daily Wage,1944
Uttar Pradesh,Lucknow,General,Muslim,77.72,50343,1.08,Unemployed,1810
Bihar,Bhagalpur,OBC,Hindu,63.33,24005,1.06,Business,10279
Rajasthan,Jaipur,OBC,Hindu,74.25,11825,0.9,Service,8414
Uttar Pradesh,Kanpur,OBC,Hindu,73.86,47566,0.88,Agriculture,6497
Bihar,Gaya,SC,Hindu,30.86,42848,0.83,Unemployed,9020
Tamil Nadu,Madurai,ST,Hindu,39.83,10000,1.03,Daily Wage,2747
Rajasthan,Udaipur,General,Hindu,71.29,41615,1.09,Agriculture,4853
Rajasthan,Jaipur,OBC,Hindu,76.37,59244,0.81,Service,7606
Bihar,Patna,General,Hindu,69.65,20749,0.93,Daily Wage,4801
Tamil Nadu,Chennai,OBC,Hindu,67.51,44399,0.95,Unemployed,5581
Uttar Pradesh,Lucknow,General,Hindu,76.23,55551,1.17,Business,2291
Bihar,Patna,General,Muslim,66.85,30884,0.97,Business,1723
Bihar,Bhagalpur,ST,Sikh,51.98,57229,0.92,Service,4285
Maharashtra,Nagpur,SC,Hindu,54.34,27930,1.02,Agriculture,8656
Tamil Nadu,Coimbatore,ST,Muslim,58.42,25374,1.12,Service,7241
Rajasthan,Ajmer,OBC,Christian,61.44,35533,1.02,Business,3804
Rajasthan,Ajmer,General,Christian,53.69,52203,0.84,Daily Wage,10345
Tamil Nadu,Coimbatore,ST,Muslim,68.23,20560,1.02,Business,4068
Tamil Nadu,Coimbatore,ST,Hindu,71.06,47921,0.98,Service,6306
Rajasthan,Udaipur,SC,Muslim,57.69,26353,1.1,Service,2223
Tamil Nadu,Madurai,ST,Hindu,53.01,19444,1.02,Service,14589
Maharashtra,Mumbai,SC,Hindu,52.04,20749,0.81,Daily Wage,2627
Bihar,Gaya,OBC,Hindu,65.17,33759,0.97,Unemployed,3275
Bihar,Gaya,SC,Muslim,69.51,42903,0.93,Business,1450
Tamil Nadu,Madurai,General,Hindu,68.02,52652,1.08,Daily Wage,8976
Bihar,Bhagalpur,OBC,Hindu,71.26,27963,0.85,Unemployed,3280
Maharashtra,Nagpur,OBC,Hindu,55.55,44994,1.01,Daily Wage,13128
Uttar Pradesh,Kanpur,General,Muslim,75.77,43070,1.09,Unemployed,11047
Uttar Pradesh,Lucknow,OBC,Christian,65.16,49329,0.95,Agriculture,14233
Maharashtra,Nagpur,ST,Hindu,53.92,43887,0.99,Daily Wage,9998
Tamil Nadu,Chennai,SC,Sikh,63.57,36219,0.95,Service,726
Tamil Nadu,Madurai,General,Hindu,93.88,62763,1.02,Agriculture,3383
Maharashtra,Pune,General,Hindu,71.12,60107,1.0,Service,4632
Rajasthan,Jaipur,General,Hindu,70.26,40446,0.94,Daily Wage,13716
Maharashtra,Nagpur,General,Hindu,38.3,48159,0.9,Unemployed,10462
Maharashtra,Pune,OBC,Hindu,85.93,35290,0.83,Service,6811
Uttar Pradesh,Varanasi,OBC,Hindu,69.5,19308,1.0,Business,8028
Rajasthan,Ajmer,OBC,Hindu,72.91,49367,0.87,Agriculture,13675
Uttar Pradesh,Lucknow,General,Hindu,70.34,24524,1.02,Agriculture,9576
Tamil Nadu,Coimbatore,OBC,Hindu,75.19,42437,0.95,Service,10076
Rajasthan,Udaipur,ST,Hindu,64.15,59065,0.92,Daily Wage,4141
Maharashtra,Pune,OBC,Hindu,71.39,18708,0.86,Business,10391
Bihar,Gaya,ST,Hindu,60.98,51559,0.92,Service,1024
Tamil Nadu,Madurai,OBC,Hindu,67.64,28896,0.9,Agriculture,11822
Maharashtra,Mumbai,General,Hindu,72.95,22541,1.08,Service,6610
Uttar Pradesh,Lucknow,OBC,Hindu,63.35,45828,0.82,Business,11581
Tamil Nadu,Madurai,ST,Muslim,66.69,45079,0.99,Unemployed,10015
Uttar Pradesh,Varanasi,General,Muslim,60.06,48743,0.83,Unemployed,6491
Uttar Pradesh,Varanasi,SC,Hindu,57.47,50441,1.03,Service,1492
Rajasthan,Udaipur,OBC,Hindu,70.15,20377,1.01,Daily Wage,2948
Bihar,Gaya,ST,Hindu,60.19,10000,1.03,Service,6867
Bihar,Bhagalpur,General,Muslim,69.76,63036,0.84,Business,12970
Rajasthan,Ajmer,SC,Christian,30.0,39186,0.98,Unemployed,1573
Rajasthan,Ajmer,SC,Hindu,43.09,20322,1.2,Service,9716
Rajasthan,Jaipur,General,Hindu,66.94,55964,0.88,Service,8355
Bihar,Patna,OBC,Hindu,49.1,32446,0.92,Daily Wage,10845
Uttar Pradesh,Lucknow,ST,Hindu,56.0,33280,0.98,Business,11869
Maharashtra,Mumbai,SC,Hindu,58.5,16039,1.0,Service,3720
Bihar,Patna,OBC,Christian,50.51,10000,1.02,Unemployed,14134
Bihar,Gaya,OBC,Hindu,75.07,34139,0.81,Service,7921
Uttar Pradesh,Kanpur,ST,Hindu,52.92,31058,0.79,Business,748
Maharashtra,Mumbai,OBC,Hindu,62.61,44784,1.09,Business,10575
Tamil Nadu,Chennai,ST,Muslim,55.81,46347,0.76,Business,1805
Tamil Nadu,Coimbatore,SC,Hindu,66.59,22940,0.98,Agriculture,13781
Tamil Nadu,Chennai,General,Hindu,67.52,64806,0.86,Business,3393
Bihar,Patna,ST,Hindu,66.28,30807,0.93,Daily Wage,6096
Bihar,Patna,General,Hindu,68.16,32314,0.95,Service,3313
Tamil Nadu,Chennai,OBC,Hindu,69.37,38618,0.96,Daily Wage,7766
Tamil Nadu,Coimbatore,General,Hindu,77.98,58852,0.84,Agriculture,12303
Bihar,Bhagalpur,ST,Hindu,68.69,17204,1.01,Daily Wage,12644
Bihar,Gaya,OBC,Hindu,76.2,10000,0.96,Business,14183
Bihar,Gaya,OBC,Hindu,65.32,23618,1.09,Service,2812
Tamil Nadu,Chennai,SC,Hindu,53.46,22904,0.96,Business,11646
Tamil Nadu,Coimbatore,OBC,Christian,76.86,32875,1.07,Daily Wage,8783
Tamil Nadu,Madurai,SC,Christian,65.31,10000,0.9,Service,13699
Rajasthan,Udaipur,SC,Hindu,54.38,42190,0.7,Business,990
Bihar,Bhagalpur,ST,Hindu,85.49,42965,0.96,Daily Wage,4631
Maharashtra,Mumbai,OBC,Hindu,81.82,70154,1.04,Daily Wage,5006
Tamil Nadu,Madurai,SC,Hindu,69.49,36960,0.94,Agriculture,11181
Rajasthan,Ajmer,OBC,Hindu,65.24,22608,0.88,Service,5763
Maharashtra,Pune,OBC,Muslim,56.49,33861,0.78,Agriculture,847
Bihar,Gaya,OBC,Muslim,71.91,34455,0.96,Agriculture,4784
Tamil Nadu,Chennai,SC,Muslim,54.78,81152,1.09,Agriculture,11815
Tamil Nadu,Coimbatore,SC,Hindu,47.55,38493,0.89,Service,6070
Maharashtra,Pune,OBC,Muslim,59.86,14898,0.99,Daily Wage,3665
Rajasthan,Ajmer,OBC,Hindu,63.19,49517,1.05,Unemployed,1927
Maharashtra,Nagpur,OBC,Hindu,83.74,22214,1.0,Unemployed,2140
Uttar Pradesh,Lucknow,General,Hindu,76.32,37887,0.87,Business,5461
Maharashtra,Mumbai,OBC,Hindu,86.1,38412,1.01,Business,12531
Uttar Pradesh,Kanpur,SC,Hindu,51.78,16710,0.89,Unemployed,9716
Uttar Pradesh,Kanpur,OBC,Hindu,68.76,19036,0.95,Daily Wage,4848
Bihar,Gaya,SC,Hindu,43.11,18199,1.02,Daily Wage,3328
Rajasthan,Ajmer,SC,Hindu,66.04,29121,0.85,Business,2645
Bihar,Bhagalpur,OBC,Hindu,59.73,29400,1.01,Service,7814
Rajasthan,Jaipur,OBC,Muslim,79.28,27552,0.83,Service,6103
Uttar Pradesh,Lucknow,SC,Muslim,62.68,22646,0.9,Agriculture,4968
Rajasthan,Udaipur,SC,Muslim,73.25,47406,0.97,Service,11541
Maharashtra,Nagpur,ST,Muslim,47.28,38170,1.06,Agriculture,7431
Rajasthan,Udaipur,OBC,Hindu,66.24,55266,1.08,Daily Wage,10192
Uttar Pradesh,Varanasi,SC,Muslim,76.64,39578,1.01,Agriculture,11222
Uttar Pradesh,Varanasi,SC,Hindu,74.14,41710,0.9,Unemployed,2071
Uttar Pradesh,Lucknow,OBC,Hindu,65.51,38578,0.82,Unemployed,1520
Uttar Pradesh,Kanpur,General,Hindu,68.57,61448,0.73,Business,3838
Uttar Pradesh,Kanpur,General,Hindu,85.34,61835,0.9,Unemployed,8214
Tamil Nadu,Madurai,SC,Hindu,65.43,35047,1.07,Business,3677
Bihar,Gaya,General,Hindu,79.83,23998,1.01,Service,14998
Rajasthan,Jaipur,OBC,Christian,67.94,36242,0.88,Service,5469
Tamil Nadu,Coimbatore,General,Hindu,87.48,60600,0.88,Daily Wage,10056
Rajasthan,Ajmer,ST,Hindu,46.65,29214,0.99,Daily Wage,7250
Bihar,Patna,SC,Muslim,62.4,53796,1.03,Unemployed,14253
Uttar Pradesh,Lucknow,SC,Muslim,69.7,39902,0.81,Business,8803
Uttar Pradesh,Lucknow,General,Muslim,68.04,60901,0.94,Unemployed,12924
Rajasthan,Udaipur,OBC,Hindu,75.03,30218,0.85,Business,9532
Maharashtra,Pune,SC,Hindu,58.77,39635,0.88,Service,3522
Maharashtra,Nagpur,ST,Muslim,57.64,20908,1.06,Daily Wage,4681
Rajasthan,Jaipur,OBC,Hindu,67.06,56791,1.1,Unemployed,2533
Uttar Pradesh,Varanasi,SC,Hindu,59.19,19873,0.74,Business,1324
Maharashtra,Mumbai,OBC,Hindu,55.28,14392,1.09,Agriculture,12607
Maharashtra,Mumbai,SC,Christian,61.16,40844,0.73,Unemployed,13373
Rajasthan,Udaipur,OBC,Hindu,58.02,48306,0.98,Service,11012
Tamil Nadu,Madurai,General,Hindu,68.53,53472,1.11,Service,14452
Bihar,Bhagalpur,General,Hindu,67.79,46040,0.97,Agriculture,11618
Bihar,Patna,OBC,Muslim,93.92,10000,1.02,Unemployed,6861
Tamil Nadu,Chennai,SC,Hindu,58.85,43501,0.88,Unemployed,942
Bihar,Bhagalpur,OBC,Muslim,69.51,45671,1.2,Daily Wage,1065
Maharashtra,Mumbai,ST,Hindu,68.08,22279,0.91,Daily Wage,13867
Bihar,Gaya,OBC,Hindu,65.47,10000,0.92,Business,8961
Tamil Nadu,Madurai,General,Hindu,77.33,25886,1.05,Agriculture,3823
Bihar,Patna,OBC,Hindu,74.88,23986,0.94,Service,12834
Bihar,Bhagalpur,OBC,Muslim,85.98,46003,0.95,Agriculture,5713
Tamil Nadu,Madurai,General,Hindu,67.62,46149,0.9,Agriculture,12494
Bihar,Patna,General,Hindu,48.95,75632,0.97,Daily Wage,13395
Rajasthan,Udaipur,ST,Hindu,63.98,34131,0.88,Agriculture,13633
Rajasthan,Jaipur,OBC,Hindu,68.14,11009,1.18,Service,8869
Rajasthan,Jaipur,OBC,Hindu,57.65,19520,0.91,Daily Wage,10420
Uttar Pradesh,Kanpur,OBC,Hindu,82.88,35217,0.83,Daily Wage,9629
Rajasthan,Jaipur,General,Hindu,82.54,55965,1.0,Daily Wage,8066
Maharashtra,Pune,OBC,Hindu,77.16,70915,1.17,Service,14630
Rajasthan,Ajmer,SC,Hindu,53.13,59358,0.99,Unemployed,4162
Rajasthan,Udaipur,OBC,Muslim,74.99,10000,0.93,Unemployed,9034
Uttar Pradesh,Kanpur,General,Muslim,61.87,57420,1.06,Business,9963
Bihar,Patna,OBC,Hindu,49.26,34669,1.06,Service,10096
Tamil Nadu,Chennai,OBC,Hindu,68.13,45935,0.99,Daily Wage,7634
Maharashtra,Nagpur,OBC,Hindu,73.42,30930,0.83,Agriculture,11812
Uttar Pradesh,Varanasi,SC,Hindu,48.78,45640,0.95,Agriculture,9569
Maharashtra,Mumbai,General,Hindu,68.61,38641,0.92,Business,5358
Maharashtra,Pune,OBC,Hindu,80.47,29971,0.82,Agriculture,10641
Rajasthan,Ajmer,General,Christian,77.44,41926,0.95,Daily Wage,8874
Rajasthan,Ajmer,OBC,Hindu,86.08,34691,0.98,Service,10555
Maharashtra,Pune,SC,Hindu,48.21,31704,1.01,Business,673
Rajasthan,Udaipur,OBC,Hindu,54.45,38012,0.96,Service,10623
Tamil Nadu,Chennai,OBC,Hindu,70.41,50557,0.98,Service,13698
Tamil Nadu,Madurai,SC,Hindu,74.78,20096,0.96,Service,12774
Bihar,Patna,OBC,Hindu,70.84,18961,1.05,Unemployed,12419
Uttar Pradesh,Varanasi,ST,Hindu,83.25,34744,1.0,Service,13748
Uttar Pradesh,Varanasi,General,Muslim,70.85,34296,0.77,Daily Wage,1672
Maharashtra,Nagpur,General,Hindu,62.94,24120,1.12,Business,2014
Tamil Nadu,Coimbatore,SC,Muslim,58.85,29811,1.04,Service,14913
Maharashtra,Mumbai,OBC,Hindu,58.78,23497,0.96,Daily Wage,10017
Uttar Pradesh,Kanpur,OBC,Hindu,80.29,42525,0.97,Daily Wage,4577
Bihar,Patna,ST,Hindu,60.78,41003,0.97,Agriculture,3685
Uttar Pradesh,Lucknow,SC,Muslim,49.7,35691,0.84,Agriculture,2676
Maharashtra,Mumbai,SC,Sikh,60.81,27790,1.2,Unemployed,9871
Maharashtra,Mumbai,General,Hindu,69.6,23936,0.94,Business,1619
Maharashtra,Nagpur,OBC,Hindu,75.19,60100,0.89,Agriculture,5378
Uttar Pradesh,Kanpur,OBC,Hindu,54.18,47252,0.81,Daily Wage,1908
Tamil Nadu,Madurai,OBC,Hindu,65.64,31135,0.94,Agriculture,9819
